pm2.5,pm10,no,no2,so2,co,nox,at,rh,ws,wd,bp,timestamp,nh3
42.86,91.0,5.74,3.93,4.01,,4.61,22.74,79.82,1.37,49.73,1007.92,2023-12-24 05:15:00,11.71
42.86,91.0,5.76,3.96,4.12,,4.6,22.96,79.11,1.56,58.21,1007.93,2023-12-24 05:30:00,11.71
42.86,91.0,5.76,3.99,3.9,,4.63,23.06,78.76,1.21,80.54,1008.06,2023-12-24 05:45:00,11.71
39.01,82.62,5.68,4.05,4.1,,4.7,23.16,78.14,1.26,128.67,1008.29,2023-12-24 06:00:00,11.7
36.88,78.0,5.69,4.02,4.08,,4.64,23.17,77.47,1.33,147.39,1008.47,2023-12-24 06:15:00,11.7
36.88,78.0,5.8,3.96,4.27,,4.69,23.24,76.8,1.16,136.3,1008.7,2023-12-24 06:30:00,11.7
36.88,78.0,5.76,4.05,4.15,,4.71,23.44,76.03,1.07,132.32,1009.01,2023-12-24 06:45:00,11.7
36.01,76.1,5.66,4.02,4.03,,4.6,23.6,75.4,0.94,206.69,1009.28,2023-12-24 07:00:00,11.72
35.5,75.0,5.65,4.01,4.31,,4.6,23.67,75.25,0.49,238.49,1009.45,2023-12-24 07:15:00,11.71
35.5,75.0,5.7,4.01,3.99,,4.64,23.76,74.8,0.57,263.34,1009.8,2023-12-24 07:30:00,11.7
35.5,75.0,5.6,4.11,4.01,,4.7,23.51,75.92,1.06,272.49,1010.14,2023-12-24 07:45:00,11.69
36.39,76.97,5.71,3.99,3.77,,4.62,23.0,78.32,1.21,253.11,1010.3,2023-12-24 08:00:00,11.7
36.88,78.0,5.76,3.91,3.93,,4.62,23.05,78.81,1.16,254.09,1010.37,2023-12-24 08:15:00,11.7
36.88,78.0,5.7,4.05,3.77,,4.66,23.18,78.49,0.97,255.36,1010.5,2023-12-24 08:30:00,11.7
36.88,78.0,5.68,4.03,3.87,,4.68,23.59,77.08,1.16,251.92,1010.57,2023-12-24 08:45:00,11.7
41.62,88.31,5.74,4.07,3.82,,4.7,23.89,76.12,1.27,251.52,1010.54,2023-12-24 09:00:00,11.7
44.24,94.0,5.69,4.08,3.95,,4.7,24.65,74.58,1.14,250.52,1010.44,2023-12-24 09:15:00,11.7
44.24,94.0,5.66,4.12,3.86,,4.68,25.25,72.78,0.97,253.2,1010.35,2023-12-24 09:30:00,11.7
44.24,94.0,5.78,4.01,4.12,,4.69,25.92,70.12,1.4,268.53,1010.23,2023-12-24 09:45:00,11.69
42.49,90.13,5.66,4.1,4.18,,4.67,26.42,68.14,1.52,262.06,1010.2,2023-12-24 10:00:00,11.7
41.48,88.0,5.78,4.04,4.12,,4.71,27.55,65.13,1.26,260.01,1009.94,2023-12-24 10:15:00,11.69
41.48,88.0,5.72,4.12,4.15,,4.74,28.76,58.94,1.21,266.85,1009.87,2023-12-24 10:30:00,11.69
41.48,88.0,5.79,3.96,4.31,,4.68,29.41,56.43,1.2,255.95,1009.78,2023-12-24 10:45:00,11.7
41.18,87.36,5.7,4.17,4.28,,4.79,29.79,55.78,1.27,273.16,1009.49,2023-12-24 11:00:00,11.69
